2024-05-05 13:32:29,414 - root - Ep. Num.: 164, Ep. Score: -23.0, Avg. Score: -23.0
2024-05-05 13:32:41,225 - root - Ep. Num.: 165, Ep. Score: -24.0, Avg. Score: -23.0
2024-05-05 13:32:49,154 - root - Ep. Num.: 166, Ep. Score: -23.0, Avg. Score: -22.9
2024-05-05 13:32:56,431 - root - Ep. Num.: 167, Ep. Score: -24.0, Avg. Score: -22.9
2024-05-05 13:33:07,689 - root - Ep. Num.: 168, Ep. Score: -24.0, Avg. Score: -23.0
2024-05-05 13:33:17,978 - root - Ep. Num.: 169, Ep. Score: -23.0, Avg. Score: -22.9
2024-05-05 13:33:27,075 - root - Ep. Num.: 170, Ep. Score: -24.0, Avg. Score: -22.9
2024-05-05 13:33:38,365 - root - Ep. Num.: 171, Ep. Score: -23.0, Avg. Score: -23.6
2024-05-05 13:33:46,375 - root - Ep. Num.: 172, Ep. Score: -24.0, Avg. Score: -23.6
2024-05-05 13:33:54,062 - root - Ep. Num.: 173, Ep. Score: -24.0, Avg. Score: -23.6
2024-05-05 13:34:01,841 - root - Ep. Num.: 174, Ep. Score: -24.0, Avg. Score: -23.7
2024-05-05 13:34:11,996 - root - Ep. Num.: 175, Ep. Score: -24.0, Avg. Score: -23.7
2024-05-05 13:34:27,085 - root - Ep. Num.: 176, Ep. Score: -24.0, Avg. Score: -23.8
2024-05-05 13:34:37,573 - root - Ep. Num.: 177, Ep. Score: -24.0, Avg. Score: -23.8
2024-05-05 13:34:46,361 - root - Ep. Num.: 178, Ep. Score: -23.0, Avg. Score: -23.7
2024-05-05 13:34:58,800 - root - Ep. Num.: 179, Ep. Score: -24.0, Avg. Score: -23.8
2024-05-05 13:35:15,678 - root - Ep. Num.: 180, Ep. Score: -24.0, Avg. Score: -23.8
2024-05-05 13:35:35,698 - root - Ep. Num.: 181, Ep. Score: -24.0, Avg. Score: -23.9
2024-05-05 13:35:45,100 - root - Ep. Num.: 182, Ep. Score: -24.0, Avg. Score: -23.9
2024-05-05 13:38:01,862 - root - Ep. Num.: 183, Ep. Score: -10.0, Avg. Score: -22.5
2024-05-05 13:38:13,199 - root - Ep. Num.: 184, Ep. Score: -24.0, Avg. Score: -22.5
2024-05-05 13:38:21,818 - root - Ep. Num.: 185, Ep. Score: -24.0, Avg. Score: -22.5
2024-05-05 13:38:30,076 - root - Ep. Num.: 186, Ep. Score: -23.0, Avg. Score: -22.4
2024-05-05 13:39:01,644 - root - Ep. Num.: 187, Ep. Score: -24.0, Avg. Score: -22.4
2024-05-05 13:39:09,100 - root - Ep. Num.: 188, Ep. Score: -24.0, Avg. Score: -22.5
2024-05-05 13:39:18,332 - root - Ep. Num.: 189, Ep. Score: -24.0, Avg. Score: -22.5
2024-05-05 13:39:30,182 - root - Ep. Num.: 190, Ep. Score: -24.0, Avg. Score: -22.5
2024-05-05 13:39:43,898 - root - Ep. Num.: 191, Ep. Score: -24.0, Avg. Score: -22.5
2024-05-05 13:39:51,328 - root - Ep. Num.: 192, Ep. Score: -24.0, Avg. Score: -22.5
2024-05-05 13:39:58,831 - root - Ep. Num.: 193, Ep. Score: -24.0, Avg. Score: -23.9
2024-05-05 13:40:11,999 - root - Ep. Num.: 194, Ep. Score: -24.0, Avg. Score: -23.9
2024-05-05 13:40:21,236 - root - Ep. Num.: 195, Ep. Score: -24.0, Avg. Score: -23.9
2024-05-05 13:40:35,937 - root - Ep. Num.: 196, Ep. Score: -24.0, Avg. Score: -24.0
